name,prepTime,category,cuisine,mainProtein,healthScore,preferenceScore,defaultPortions,imageUrl,ingredients,tags,notes
Pollo alla pizzaiola,SHORT,Chicken,Italian,Chicken,7,8,2,"https://source.unsplash.com/800x600/?chicken,tomato",chicken breast; tomato sauce; oregano; mozzarella; garlic; olive oil; basil,chicken; tomato; italian,Chicken cooked pizzaiola-style with tomato and herbs.
"Panino con mortadella, pistachio and burrata",SHORT,Sandwich,Italian,Pork,4,8,2,"https://source.unsplash.com/800x600/?italian,sandwich,burrata",bread; mortadella; burrata; pistachio cream; arugula; olive oil,sandwich; no-cook; indulgent,Assumed Italian-style panino.
Greek salad,SHORT,Salad,Greek,Vegetarian,9,7,2,"https://source.unsplash.com/800x600/?greek,salad",tomatoes; cucumber; red onion; feta; olives; olive oil; oregano,fresh; vegetarian; light,Classic Greek salad.
Lubina al horno,SHORT,Fish,Spanish/Mediterranean,Fish,9,8,2,"https://source.unsplash.com/800x600/?sea-bass,oven",sea bass; potatoes; lemon; garlic; parsley; olive oil; white wine,oven; fish; healthy,Baked sea bass.
Hamburguesa con queso de cabra and cebolla caramelizada,MEDIUM,Burger,American/Spanish,Beef,5,8,2,"https://source.unsplash.com/800x600/?goat-cheese,burger",burger buns; beef patties; goat cheese; onion; sugar; balsamic vinegar; lettuce,burger; caramelized-onion; comfort-food,Goat cheese burger with caramelized onion.
Solomillo con nata y champiñones,MEDIUM,Meat,Spanish/French,Pork/Beef,5,8,2,"https://source.unsplash.com/800x600/?steak,mushroom,sauce",sirloin; mushrooms; cream; garlic; onion; olive oil; pepper,creamy; meat; pan-sauce,Could be pork or beef sirloin depending on preference.
Chicken quesadillas with pico de gallo and guacamole,MEDIUM,Wrap,Mexican,Chicken,6,8,2,"https://source.unsplash.com/800x600/?chicken,quesadilla",tortillas; chicken; cheese; tomato; onion; cilantro; avocado; lime,mexican; chicken; handheld,Includes pico de gallo and guacamole.
Cachopo,MEDIUM,Meat,Spanish,Beef/Pork,4,8,2,"https://source.unsplash.com/800x600/?breaded,steak",veal or beef steaks; ham; cheese; breadcrumbs; egg; flour; oil,breaded; spanish; indulgent,Asturian-style stuffed breaded meat.
Chicken cutlets,MEDIUM,Chicken,Italian/American,Chicken,5,7,2,"https://source.unsplash.com/800x600/?chicken,cutlet",chicken breast; breadcrumbs; egg; flour; parmesan; lemon; oil,breaded; chicken; comfort-food,Breaded chicken cutlets.
Greek bowl with tzatziki,MEDIUM,Bowl,Greek,Chicken/Vegetarian,8,8,2,"https://source.unsplash.com/800x600/?greek,bowl,tzatziki",rice or couscous; chicken or chickpeas; cucumber; tomato; feta; tzatziki; olives,bowl; greek; balanced,Protein can be chicken or chickpeas.
Pasta broccoli salsiccia,MEDIUM,Pasta,Italian,Pork,6,8,2,"https://source.unsplash.com/800x600/?broccoli,sausage,pasta",pasta; broccoli; Italian sausage; garlic; parmesan; olive oil; chili flakes,italian; sausage; vegetables,Pasta with broccoli and sausage.
Paccheri pomodorini burrata gamberi,MEDIUM,Pasta/Seafood,Italian,Seafood,7,8,2,"https://source.unsplash.com/800x600/?paccheri,shrimp,pasta",paccheri; cherry tomatoes; burrata; prawns; garlic; olive oil; basil,seafood; italian; pasta,"Assumed paccheri with cherry tomatoes, burrata, and prawns."
Spaghetti zucchine gamberetti,MEDIUM,Pasta/Seafood,Italian,Seafood,8,8,2,"https://source.unsplash.com/800x600/?spaghetti,zucchini,shrimp",spaghetti; zucchini; prawns; garlic; parsley; olive oil; lemon,seafood; italian; lighter-pasta,Spaghetti with zucchini and small prawns.
Greek bowl,MEDIUM,Bowl,Greek,Chicken/Vegetarian,8,7,2,"https://source.unsplash.com/800x600/?greek,bowl",rice or couscous; cucumber; tomato; feta; olives; chickpeas; olive oil,bowl; greek; flexible,Generic Greek bowl variant.
"Pasta pesto di pistachio, salsiccia, burrata",MEDIUM,Pasta,Italian,Pork,5,8,2,"https://source.unsplash.com/800x600/?pistachio,pasta,burrata",pasta; pistachio pesto; Italian sausage; burrata; parmesan; olive oil,rich; italian; sausage,Creamy/rich pistachio pesto pasta with sausage and burrata.
Polpette al sugo,MEDIUM,Meatballs,Italian,Beef/Pork,6,8,2,"https://source.unsplash.com/800x600/?meatballs,tomato,sauce",ground beef or pork; breadcrumbs; egg; parmesan; tomato sauce; garlic; basil,italian; tomato; comfort-food,Meatballs in tomato sauce.
Polpette al forno,MEDIUM,Meatballs,Italian,Beef/Pork,7,8,2,"https://source.unsplash.com/800x600/?baked,meatballs",ground beef or pork; breadcrumbs; egg; parmesan; parsley; olive oil,italian; baked; meatballs,"Baked meatballs, slightly healthier than fried/sauced versions."
Lasagna alla bolognese,LONG,Pasta/Baked,Italian,Beef/Pork,5,9,4,"https://source.unsplash.com/800x600/?lasagna,bolognese",lasagna sheets; ground beef; tomato sauce; bechamel; parmesan; onion; carrot; celery,weekend; baked; comfort-food,Classic bolognese lasagna.
Lasagna al pesto,LONG,Pasta/Baked,Italian,Vegetarian,5,8,4,"https://source.unsplash.com/800x600/?pesto,lasagna",lasagna sheets; basil pesto; bechamel; parmesan; mozzarella; green beans; potatoes,weekend; baked; vegetarian,Assumed Ligurian-style pesto lasagna.
Onion soup,LONG,Soup,French,Vegetarian,7,7,4,"https://source.unsplash.com/800x600/?french,onion,soup",onions; butter; beef or vegetable stock; bread; gruyere; thyme,soup; winter; comfort-food,French onion soup. Use vegetable stock if vegetarian.
Parmigiana,LONG,Baked/Vegetarian,Italian,Vegetarian,6,8,4,"https://source.unsplash.com/800x600/?eggplant,parmigiana",eggplant; tomato sauce; mozzarella; parmesan; basil; olive oil,baked; vegetarian; italian,Assumed melanzane alla parmigiana.
Chicken potato soup,LONG,Soup/Chicken,Other,Chicken,7,7,4,"https://source.unsplash.com/800x600/?chicken,potato,soup",chicken; potatoes; carrots; onion; celery; stock; parsley,soup; batch-cooking; comfort-food,General chicken and potato soup.
Lentejas,LONG,Legumes/Stew,Spanish,Legumes,9,7,4,"https://source.unsplash.com/800x600/?lentil,stew",lentils; chorizo or vegetables; carrot; onion; garlic; potato; paprika,healthy; stew; batch-cooking,Spanish lentil stew. Can be vegetarian or with chorizo.
Arroz pulpo y langostinos,LONG,Rice/Seafood,Spanish,Seafood,8,8,4,"https://source.unsplash.com/800x600/?seafood,rice",rice; octopus; prawns; fish stock; tomato; garlic; saffron or paprika,seafood; weekend; rice,Spanish-style rice with octopus and prawns.
Fideua,LONG,Pasta/Seafood,Spanish,Seafood,7,8,4,"https://source.unsplash.com/800x600/?fideua,seafood",fideua noodles; prawns; squid; fish stock; tomato; garlic; saffron or paprika; aioli,seafood; weekend; spanish,Seafood fideua.
